Codi_districte,Nom_districte,Lloc_de_procedencia,Nombre
2,Eixample,Rioja,4
2,Eixample,Rioja,3
2,Eixample,Rioja,2
2,Eixample,Rioja,4
2,Eixample,Rioja,5
2,Eixample,Rioja,6
2,Eixample,Ceuta,0
2,Eixample,Ceuta,1
2,Eixample,Ceuta,0
2,Eixample,Ceuta,1
2,Eixample,Ceuta,0
2,Eixample,Ceuta,0
2,Eixample,Melilla,1
2,Eixample,Melilla,1
2,Eixample,Melilla,0
2,Eixample,Melilla,1
2,Eixample,Melilla,0
2,Eixample,Melilla,0
2,Eixample,Estranger,1477
2,Eixample,Estranger,2326
2,Eixample,Estranger,2117
2,Eixample,Estranger,2282
2,Eixample,Estranger,2228
2,Eixample,Estranger,1547
6,Gracia,Andalusia,17
6,Gracia,Andalusia,15
6,Gracia,Andalusia,16
6,Gracia,Andalusia,91
6,Gracia,Andalusia,48
6,Gracia,Aragó,0
6,Gracia,Aragó,2
6,Gracia,Aragó,6
6,Gracia,Aragó,22
6,Gracia,Aragó,19
6,Gracia,Principat d'Astúries,3
6,Gracia,Principat d'Astúries,0
6,Gracia,Principat d'Astúries,4
6,Gracia,Principat d'Astúries,12
6,Gracia,Principat d'Astúries,5
6,Gracia,Illes Balears,12
6,Gracia,Illes Balears,9
6,Gracia,Illes Balears,14
6,Gracia,Illes Balears,59
6,Gracia,Illes Balears,20
6,Gracia,Canaries,7
6,Gracia,Canaries,4
6,Gracia,Canaries,9
6,Gracia,Canaries,24
6,Gracia,Canaries,16
6,Gracia,Cantabria,3
6,Gracia,Cantabria,0
6,Gracia,Cantabria,1
6,Gracia,Cantabria,7
6,Gracia,Cantabria,6
6,Gracia,Castella i Lleó,3
6,Gracia,Castella i Lleó,3
6,Gracia,Castella i Lleó,5
6,Gracia,Castella i Lleó,29
6,Gracia,Castella i Lleó,12
6,Gracia,Castella - la Manxa,3
6,Gracia,Castella - la Manxa,0
6,Gracia,Castella - la Manxa,2
6,Gracia,Castella - la Manxa,12
6,Gracia,Castella - la Manxa,9
6,Gracia,Catalunya,231
6,Gracia,Catalunya,112
6,Gracia,Catalunya,203
6,Gracia,Catalunya,889
6,Gracia,Catalunya,525
6,Gracia,Comunitat Valenciana,8
6,Gracia,Comunitat Valenciana,10
6,Gracia,Comunitat Valenciana,12
6,Gracia,Comunitat Valenciana,98
6,Gracia,Comunitat Valenciana,47
6,Gracia,Extremadura,1
6,Gracia,Extremadura,0
6,Gracia,Extremadura,5
6,Gracia,Extremadura,6
6,Gracia,Extremadura,7
6,Gracia,Galicia,4
6,Gracia,Galicia,4
6,Gracia,Galicia,7
6,Gracia,Galicia,44
6,Gracia,Galicia,29
6,Gracia,Comunitat de Madrid,21
6,Gracia,Comunitat de Madrid,5
6,Gracia,Comunitat de Madrid,26
6,Gracia,Comunitat de Madrid,95
6,Gracia,Comunitat de Madrid,71
6,Gracia,Regió de Múrcia,3
6,Gracia,Regió de Múrcia,2
6,Gracia,Regió de Múrcia,1
6,Gracia,Regió de Múrcia,13
6,Gracia,Regió de Múrcia,4
6,Gracia,Comunitat Foral de Navarra,3
6,Gracia,Comunitat Foral de Navarra,1
6,Gracia,Comunitat Foral de Navarra,3
6,Gracia,Comunitat Foral de Navarra,8
6,Gracia,Comunitat Foral de Navarra,3
6,Gracia,Pais Basc,5
6,Gracia,Pais Basc,4
6,Gracia,Pais Basc,8
6,Gracia,Pais Basc,29
6,Gracia,Pais Basc,25
6,Gracia,Rioja,1
6,Gracia,Rioja,1
6,Gracia,Rioja,3
6,Gracia,Rioja,6
6,Gracia,Rioja,1
6,Gracia,Ceuta,0
6,Gracia,Ceuta,0
6,Gracia,Ceuta,0
6,Gracia,Ceuta,0
6,Gracia,Ceuta,0
6,Gracia,Melilla,1
6,Gracia,Melilla,0
6,Gracia,Melilla,2
6,Gracia,Melilla,0
6,Gracia,Melilla,0
6,Gracia,Estranger,384
6,Gracia,Estranger,191
6,Gracia,Estranger,354
6,Gracia,Estranger,2036
6,Gracia,Estranger,1114
7,Horta-Guinardó,Andalusia,31
7,Horta-Guinardó,Andalusia,10
7,Horta-Guinardó,Andalusia,40
7,Horta-Guinardó,Andalusia,8
7,Horta-Guinardó,Andalusia,32
7,Horta-Guinardó,Andalusia,15
7,Horta-Guinardó,Andalusia,8
7,Horta-Guinardó,Andalusia,11
7,Horta-Guinardó,Andalusia,6
7,Horta-Guinardó,Andalusia,1
7,Horta-Guinardó,Andalusia,18
7,Horta-Guinardó,Aragó,10
7,Horta-Guinardó,Aragó,2
7,Horta-Guinardó,Aragó,14
7,Horta-Guinardó,Aragó,5
7,Horta-Guinardó,Aragó,16
7,Horta-Guinardó,Aragó,4
7,Horta-Guinardó,Aragó,2
7,Horta-Guinardó,Aragó,1
7,Horta-Guinardó,Aragó,2
7,Horta-Guinardó,Aragó,0
7,Horta-Guinardó,Aragó,8
7,Horta-Guinardó,Principat d'Astúries,0
7,Horta-Guinardó,Principat d'Astúries,1
7,Horta-Guinardó,Principat d'Astúries,11
7,Horta-Guinardó,Principat d'Astúries,0
7,Horta-Guinardó,Principat d'Astúries,4
7,Horta-Guinardó,Principat d'Astúries,1
7,Horta-Guinardó,Principat d'Astúries,1
7,Horta-Guinardó,Principat d'Astúries,3
7,Horta-Guinardó,Principat d'Astúries,0
7,Horta-Guinardó,Principat d'Astúries,0
7,Horta-Guinardó,Principat d'Astúries,1
7,Horta-Guinardó,Illes Balears,19
7,Horta-Guinardó,Illes Balears,9
7,Horta-Guinardó,Illes Balears,22
7,Horta-Guinardó,Illes Balears,6
7,Horta-Guinardó,Illes Balears,11
7,Horta-Guinardó,Illes Balears,10
7,Horta-Guinardó,Illes Balears,3
7,Horta-Guinardó,Illes Balears,3
7,Horta-Guinardó,Illes Balears,3
7,Horta-Guinardó,Illes Balears,0
7,Horta-Guinardó,Illes Balears,13
7,Horta-Guinardó,Canaries,7
7,Horta-Guinardó,Canaries,8
7,Horta-Guinardó,Canaries,19
7,Horta-Guinardó,Canaries,2
7,Horta-Guinardó,Canaries,17
7,Horta-Guinardó,Canaries,4
7,Horta-Guinardó,Canaries,2
7,Horta-Guinardó,Canaries,0
7,Horta-Guinardó,Canaries,0
7,Horta-Guinardó,Canaries,0
7,Horta-Guinardó,Canaries,6
7,Horta-Guinardó,Cantabria,2
7,Horta-Guinardó,Cantabria,0
7,Horta-Guinardó,Cantabria,4
7,Horta-Guinardó,Cantabria,1
7,Horta-Guinardó,Cantabria,3
7,Horta-Guinardó,Cantabria,0
7,Horta-Guinardó,Cantabria,1
7,Horta-Guinardó,Cantabria,1
7,Horta-Guinardó,Cantabria,0
7,Horta-Guinardó,Cantabria,0
7,Horta-Guinardó,Cantabria,0
7,Horta-Guinardó,Castella i Lleó,13
7,Horta-Guinardó,Castella i Lleó,5
7,Horta-Guinardó,Castella i Lleó,18
7,Horta-Guinardó,Castella i Lleó,5
7,Horta-Guinardó,Castella i Lleó,8
7,Horta-Guinardó,Castella i Lleó,4
7,Horta-Guinardó,Castella i Lleó,1
7,Horta-Guinardó,Castella i Lleó,5
7,Horta-Guinardó,Castella i Lleó,7
7,Horta-Guinardó,Castella i Lleó,0
7,Horta-Guinardó,Castella i Lleó,9
7,Horta-Guinardó,Castella - la Manxa,1
7,Horta-Guinardó,Castella - la Manxa,0
7,Horta-Guinardó,Castella - la Manxa,12
7,Horta-Guinardó,Castella - la Manxa,0
7,Horta-Guinardó,Castella - la Manxa,14
7,Horta-Guinardó,Castella - la Manxa,3
7,Horta-Guinardó,Castella - la Manxa,1
7,Horta-Guinardó,Castella - la Manxa,0
7,Horta-Guinardó,Castella - la Manxa,0
7,Horta-Guinardó,Castella - la Manxa,1
7,Horta-Guinardó,Castella - la Manxa,4
7,Horta-Guinardó,Catalunya,390
7,Horta-Guinardó,Catalunya,148
7,Horta-Guinardó,Catalunya,577
7,Horta-Guinardó,Catalunya,119
7,Horta-Guinardó,Catalunya,544
7,Horta-Guinardó,Catalunya,210
7,Horta-Guinardó,Catalunya,165
7,Horta-Guinardó,Catalunya,99
7,Horta-Guinardó,Catalunya,77
7,Horta-Guinardó,Catalunya,16
7,Horta-Guinardó,Catalunya,454
7,Horta-Guinardó,Comunitat Valenciana,33
7,Horta-Guinardó,Comunitat Valenciana,21
7,Horta-Guinardó,Comunitat Valenciana,34
7,Horta-Guinardó,Comunitat Valenciana,8
7,Horta-Guinardó,Comunitat Valenciana,33
7,Horta-Guinardó,Comunitat Valenciana,15
7,Horta-Guinardó,Comunitat Valenciana,18
7,Horta-Guinardó,Comunitat Valenciana,9
7,Horta-Guinardó,Comunitat Valenciana,7
7,Horta-Guinardó,Comunitat Valenciana,1
7,Horta-Guinardó,Comunitat Valenciana,11
7,Horta-Guinardó,Extremadura,4
